customer_id,age,income,past_purchases,website_visits,customer_segment,previous_discount,discount,purchase,revenue
1,22,39786,4,3,regular,0,5,0,0.0
2,58,23387,7,5,new,20,5,0,0.0
3,52,82731,5,6,regular,5,10,0,0.0
4,40,88301,9,2,regular,20,5,0,0.0
5,40,97261,1,2,loyal,0,0,0,0.0
6,62,115049,4,5,regular,20,5,0,0.0
7,22,69736,5,3,loyal,5,20,0,0.0
8,54,102915,5,4,regular,0,20,0,0.0
9,28,91629,5,4,new,10,5,0,0.0
10,22,47719,5,6,regular,10,5,0,0.0
11,45,104512,3,1,new,0,5,1,190.3
12,68,25332,6,4,loyal,20,5,0,0.0
13,56,79889,6,5,regular,20,5,0,0.0
14,57,114035,5,5,regular,5,10,1,284.82
15,55,85896,8,4,regular,20,10,1,370.13
16,58,113706,9,4,regular,0,5,0,0.0
17,44,25615,5,4,regular,20,10,1,174.1
18,24,73241,6,3,new,5,20,0,0.0
19,61,98061,5,4,regular,20,10,0,0.0
20,41,84231,3,4,loyal,20,0,1,447.75
21,44,108053,5,3,regular,20,5,0,0.0
22,37,66260,4,7,new,0,0,1,132.33
23,27,88260,3,1,regular,5,5,0,0.0
24,66,61976,8,2,regular,0,10,0,0.0
25,58,107211,3,3,regular,0,20,0,0.0
26,51,31944,1,1,regular,10,10,1,85.41
27,38,45411,6,3,regular,10,0,1,340.87
28,60,29675,5,4,regular,0,5,0,0.0
29,46,90210,4,5,regular,0,10,0,0.0
30,41,43273,2,2,regular,5,0,0,0.0
31,41,51713,0,1,loyal,10,0,0,0.0
32,29,103664,4,7,loyal,5,0,0,0.0
33,22,56018,3,2,new,20,20,1,482.51
34,46,34583,9,3,new,10,0,0,0.0
35,64,22097,4,3,regular,10,5,0,0.0
36,21,42669,3,4,regular,0,5,0,0.0
37,62,111468,2,4,new,20,10,1,255.28
38,61,74861,5,4,loyal,10,10,0,0.0
39,32,119483,2,2,new,20,5,0,0.0
40,50,41513,2,2,regular,5,10,0,0.0
41,26,55147,2,2,loyal,10,20,1,436.81
42,57,36320,3,3,new,10,10,1,433.21
43,54,59837,5,3,loyal,20,5,0,0.0
44,36,76331,4,6,loyal,10,0,0,0.0
45,21,100812,4,6,new,5,10,0,0.0
46,68,56809,4,3,new,10,10,0,0.0
